Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
9696_03192100,LONG,2024-03-19 21:00:00,113.05,110.87944,117.877235,CLOSED,-0.19199999999999953,110.87944,2024-03-19 22:15:00,1212.0000000000007,-287.9999999999993
9696_03281315,LONG,2024-03-28 13:15:00,125.48,123.070784,130.837996,CLOSED,0.42700000000000005,130.837996,2024-04-01 13:30:00,1729.524000000001,517.5240000000003
9696_04141200,LONG,2024-04-14 12:00:00,83.06,81.465248,86.606662,CLOSED,-0.19199999999999995,81.465248,2024-04-14 17:15:00,1397.455392000001,-332.0686080000001
9696_04150300,LONG,2024-04-15 03:00:00,86.12,84.466496,89.797324,CLOSED,0.4269999999999998,89.797324,2024-04-15 06:15:00,1994.1688443840012,596.7134523840002
9696_04300445,LONG,2024-04-30 04:45:00,88.46,86.761568,92.237242,CLOSED,-0.19199999999999967,86.761568,2024-04-30 08:30:00,1611.2884262622736,-382.8804181217276
9696_05041130,SHORT,2024-05-04 11:30:00,89.25,90.96360000000001,85.439025,CLOSED,-0.19200000000000156,90.96360000000001,2024-05-06 07:15:00,1301.9210484199145,-309.367377842359
9696_05111115,LONG,2024-05-11 11:15:00,82.73,81.14158400000001,86.262571,CLOSED,-0.1919999999999994,81.14158400000001,2024-05-13 02:30:00,1051.9522071232918,-249.9688412966228
9696_05212300,SHORT,2024-05-21 23:00:00,97.12,98.98470400000002,92.972976,CLOSED,-0.19200000000000178,98.98470400000002,2024-05-23 12:15:00,849.9773833556179,-201.9748237676739
9696_05290815,LONG,2024-05-29 08:15:00,104.51,102.50340800000001,108.972577,CLOSED,-0.19199999999999978,102.50340800000001,2024-05-30 08:00:00,686.7817257513394,-163.19565760427847
9696_06082200,LONG,2024-06-08 22:00:00,92.8,91.01823999999999,96.76256,CLOSED,-0.19200000000000061,91.01823999999999,2024-06-10 07:45:00,554.9196344070818,-131.86209134425758
9696_06200800,SHORT,2024-06-20 08:00:00,88.61,90.31131200000002,84.826353,CLOSED,0.4270000000000002,84.826353,2024-06-20 23:45:00,791.8703182989059,236.95068389182407
9696_06271045,SHORT,2024-06-27 10:45:00,94.06,95.86595200000001,90.043638,CLOSED,-0.1920000000000005,95.86595200000001,2024-06-27 12:00:00,639.8312171855156,-152.03910111339033
9696_07130745,SHORT,2024-07-13 07:45:00,97.8,99.67776,93.62394,CLOSED,-0.19200000000000095,99.67776,2024-07-13 20:30:00,516.983623485896,-122.8475936996196
9696_07281300,SHORT,2024-07-28 13:00:00,100.68,102.61305600000001,96.380964,CLOSED,-0.19200000000000075,102.61305600000001,2024-07-29 02:45:00,417.72276777660363,-99.26085570929243
9696_07300900,SHORT,2024-07-30 09:00:00,105.01,107.02619200000002,100.52607300000001,CLOSED,-0.19200000000000172,107.02619200000002,2024-07-31 01:00:00,337.519996363495,-80.20277141310862
9696_08151230,SHORT,2024-08-15 12:30:00,106.88,108.932096,102.316224,CLOSED,-0.19200000000000056,108.932096,2024-08-15 14:00:00,272.71615706170377,-64.80383930179123
9696_11100500,SHORT,2024-11-10 05:00:00,196.97,200.75182400000003,188.559381,CLOSED,0.4269999999999999,188.559381,2024-11-10 20:00:00,389.16595612705123,116.44979906534748
9696_11240030,SHORT,2024-11-24 00:30:00,177.29,180.693968,169.719717,CLOSED,-0.19200000000000117,180.693968,2024-11-24 03:45:00,314.44609255065694,-74.71986357639429
9696_12241400,SHORT,2024-12-24 14:00:00,375.3,382.50576000000007,359.27469,CLOSED,-0.19200000000000145,382.50576000000007,2024-12-25 07:30:00,254.07244278093034,-60.37364976972659
9696_12270515,LONG,2024-12-27 05:15:00,339.22,332.70697600000005,353.704694,CLOSED,-0.19199999999999917,332.70697600000005,2024-12-27 14:00:00,205.29053376699193,-48.78190901393842
9696_01010615,LONG,2025-01-01 06:15:00,309.67,303.724336,322.89290900000003,CLOSED,0.4270000000000005,322.89290900000003,2025-01-02 00:15:00,292.9495916854976,87.65905791850565
9696_01092030,LONG,2025-01-09 20:30:00,277.13,271.809104,288.96345099999996,CLOSED,0.4269999999999988,288.96345099999996,2025-01-10 05:30:00,418.0390673352047,125.08947564970713
9696_01232000,LONG,2025-01-23 20:00:00,331.02,324.66441599999996,345.15455399999996,CLOSED,0.4269999999999994,345.15455399999996,2025-01-24 05:30:00,596.5417490873369,178.50268175213216
9696_01272000,LONG,2025-01-27 20:00:00,295.44,289.767552,308.05528799999996,CLOSED,-0.19199999999999914,289.767552,2025-01-28 18:45:00,482.00573326256875,-114.53601582476819
9696_03312215,LONG,2025-03-31 22:15:00,158.15,155.11352,164.903005,CLOSED,0.4270000000000001,164.903005,2025-04-01 07:15:00,687.8221813656857,205.8164481031169
9696_04041330,LONG,2025-04-04 13:30:00,145.95,143.14775999999998,152.182065,CLOSED,0.42700000000000043,152.182065,2025-04-04 16:45:00,981.5222528088337,293.7000714431481
9696_06110600,SHORT,2025-06-11 06:00:00,309.34,315.279328,296.13118199999997,CLOSED,-0.1920000000000015,315.279328,2025-06-11 12:30:00,793.0699802695362,-188.45227253929755
9696_06241700,SHORT,2025-06-24 17:00:00,267.28,272.411776,255.867144,CLOSED,0.42699999999999916,255.867144,2025-06-25 22:15:00,1131.7108618446275,338.6408815750913
9696_07291215,LONG,2025-07-29 12:15:00,287.94,282.411552,300.235038,CLOSED,-0.1920000000000009,282.411552,2025-07-29 14:45:00,914.422376370458,-217.2884854741695
9696_08061100,LONG,2025-08-06 11:00:00,256.14,251.22211199999998,267.077178,CLOSED,0.4270000000000007,267.077178,2025-08-07 08:45:00,1304.8807310806442,390.4583547101862
9696_08081400,SHORT,2025-08-08 14:00:00,285.45,290.93064000000004,273.261285,CLOSED,-0.19200000000000178,290.93064000000004,2025-08-08 18:15:00,1054.3436307131583,-250.537100367486
9696_08212300,SHORT,2025-08-21 23:00:00,301.24,307.02380800000003,288.37705200000005,CLOSED,-0.19200000000000073,307.02380800000003,2025-08-22 02:15:00,851.9096536162311,-202.43397709692715
9696_09061230,LONG,2025-09-06 12:30:00,299.5,293.7496,312.28864999999996,CLOSED,0.4269999999999987,312.28864999999996,2025-09-12 05:30:00,1215.6750757103607,363.7654220941296
9696_09161230,LONG,2025-09-16 12:30:00,294.84,289.17907199999996,307.42966799999994,CLOSED,0.4269999999999987,307.42966799999994,2025-09-17 23:00:00,1734.768333038683,519.0932573283225
9696_09291645,SHORT,2025-09-29 16:45:00,273.84,279.097728,262.14703199999997,CLOSED,-0.19200000000000159,279.097728,2025-09-29 20:30:00,1401.692813095253,-333.0755199434299
9696_10020200,SHORT,2025-10-02 02:00:00,287.42,292.93846400000007,275.147166,CLOSED,-0.19200000000000178,292.93846400000007,2025-10-02 19:00:00,1132.567792980962,-269.1250201142911
9696_10112200,LONG,2025-10-11 22:00:00,230.51,226.084208,240.35277699999997,CLOSED,0.4269999999999993,240.35277699999997,2025-10-12 15:00:00,1616.174240583832,483.60644760287
9696_11191015,SHORT,2025-11-19 10:15:00,175.93,179.30785600000002,168.41778900000003,CLOSED,0.4269999999999988,168.41778900000003,2025-11-19 15:45:00,2306.2806413131266,690.1064007292944
9696_11251300,SHORT,2025-11-25 13:00:00,179.29,182.732368,171.634317,CLOSED,-0.19200000000000092,182.732368,2025-11-26 17:30:00,1863.4747581810043,-442.8058831321224
9696_12041200,SHORT,2025-12-04 12:00:00,195.14,198.88668800000002,186.807522,CLOSED,0.42699999999999905,186.807522,2025-12-05 16:00:00,2659.1784799242914,795.703721743287
9696_12242100,LONG,2025-12-24 21:00:00,147.63,144.795504,153.933801,CLOSED,0.42699999999999955,153.933801,2025-12-25 16:15:00,3794.6476908519626,1135.4692109276712
9696_01011315,LONG,2026-01-01 13:15:00,145.24,142.451392,151.441748,CLOSED,0.4269999999999986,151.441748,2026-01-02 09:30:00,5414.9622548457455,1620.3145639937827
9696_02031415,SHORT,2026-02-03 14:15:00,128.31,130.77355200000002,122.831163,CLOSED,0.4269999999999999,122.831163,2026-02-03 18:00:00,7727.151137664878,2312.1888828191327
9696_02180515,SHORT,2026-02-18 05:15:00,126.42,128.84726400000002,121.021866,CLOSED,0.4269999999999999,121.021866,2026-02-19 13:15:00,11026.64467344778,3299.4935357829017
9696_03011630,SHORT,2026-03-01 16:30:00,115.74,117.962208,110.797902,CLOSED,-0.19200000000000078,117.962208,2026-03-02 14:45:00,8909.528896145797,-2117.1157773019822
9696_03310400,SHORT,2026-03-31 04:00:00,98.1,99.98352,93.91113,CLOSED,-0.19200000000000045,99.98352,2026-04-01 06:15:00,7198.899348085801,-1710.629548059997
